x,y,lon,lat
446.754253948136,654.330209891994,113,36
558.485688235902,653.508735366728,114,36
669.871874328208,653.819848585365,115,36
782.301572205786,655.5075959965,116,36
894.735697639735,658.51865111125,117,36
898.481030822739,520.222188805852,117,35
784.696576597333,517.403534990453,116,35
670.990983475935,516.088577940378,115,35
557.758025671803,514.71103769263,114,35
445.077576301828,515.359334235083,113,35
331.90964032551,517.687242372975,112,35
217.611665462315,520.91192102963,111,35
103.994370465065,524.583574488526,110,35
98.2266307341706,384.769740522075,110,34
213.590988873824,380.745519481667,111,34
328.336855339268,378.717347497523,112,34
443.19163969138,376.456590196654,113,34
556.826037706374,376.162617301559,114,34
671.978126143556,376.798201048188,115,34
787.234477208138,378.819694377655,116,34
902.434914560868,381.61803200575,117,34
906.359247522774,242.59179357084,117,33
789.765116626499,240.074211640123,116,33
673.229808979122,238.61989021553,115,33
556.857941412549,237.625144299693,114,33
442.104560751439,237.913223165277,113,33
325.743445821761,238.599732821414,112,33
209.154931596993,241.066472909604,111,33
92.6860878957887,245.151474377963,110,33
86.4263581012165,105.631772099794,110,32
204.868399223811,101.925090731753,111,32
322.430722846453,99.53247904009,112,32
440.43096974443,99.0971895483399,113,32
556.174149606981,98.8516859387255,114,32
674.049033408923,100.059298793629,115,32
791.828383194592,101.680502518164,116,32
