504.319,35.524,0.5
504.135,37.515,0.5
503.951,39.507,0.5
503.757,41.497,0.5
503.45,43.473,0.5
503.143,45.449,0.5
502.836,47.426,0.5
502.549,49.405,0.5
502.263,51.385,0.5
501.959,53.361,0.5
501.56,55.321,0.5
501.16,57.28,0.5
500.45,59.15,0.5
499.736,61.018,0.5
499.137,62.926,0.5
498.552,64.838,0.5
497.966,66.75,0.5
497.35,68.65,0.5
496.342,70.377,0.5
495.333,72.104,0.5
494.325,73.831,0.5
493.316,75.558,0.5
492.142,77.176,0.5
490.959,78.789,0.5
489.768,80.395,0.5
488.427,81.878,0.5
487.085,83.361,0.5
485.743,84.844,0.5
484.341,86.267,0.5
482.858,87.609,0.5
481.374,88.951,0.5
479.884,90.284,0.5
478.373,91.595,0.5
476.863,92.906,0.5
475.352,94.216,0.5
473.773,95.439,0.5
472.133,96.584,0.5
470.494,97.73,0.5
468.854,98.875,0.5
467.064,99.765,0.5
465.268,100.646,0.5
463.473,101.527,0.5
461.677,102.408,0.5
459.851,103.221,0.5
458.016,104.017,0.5
456.181,104.812,0.5
454.306,105.507,0.5
452.417,106.162,0.5
450.527,106.817,0.5
448.637,107.47,0.5
446.72,108.043,0.5
444.804,108.616,0.5
442.888,109.189,0.5
440.958,109.707,0.5
439.003,110.131,0.5
437.049,110.555,0.5
435.094,110.979,0.5
433.145,111.425,0.5
431.198,111.882,0.5
429.251,112.34,0.5
427.303,112.797,0.5
425.347,113.19,0.5
423.352,113.339,0.5
421.358,113.487,0.5
419.363,113.636,0.5
417.367,113.748,0.5
415.368,113.835,0.5
413.37,113.923,0.5
411.372,114.01,0.5
409.374,114.068,0.5
407.376,113.977,0.5
405.378,113.887,0.5
403.38,113.797,0.5
401.382,113.711,0.5
399.384,113.629,0.5
397.386,113.548,0.5
395.387,113.466,0.5
393.406,113.208,0.5
391.427,112.914,0.5
389.449,112.619,0.5
387.471,112.325,0.5
385.521,111.896,0.5
383.591,111.37,0.5
381.662,110.843,0.5
