x,y,lon,lat
448.226631493431,651.589691665928,113,36
560.133776518229,650.566428361659,114,36
671.465415116072,651.063815330741,115,36
783.650028773409,652.581215014121,116,36
895.888658618438,655.626242530356,117,36
899.501721717475,517.614216187991,117,35
785.889739787868,514.909818741833,116,35
672.501210303104,513.425420019254,115,35
559.20118134507,512.277242520588,114,35
446.193396407682,512.960389497446,113,35
333.122942572438,515.427176289515,112,35
219.077313121932,518.951637803797,111,35
105.713932157341,522.838381306394,110,35
99.6037778670579,383.307563505057,110,34
214.86731422312,379.03652180565,111,34
329.283871696029,376.817611180242,112,34
444.016050687216,374.33549617513,113,34
558.620817256273,373.924969079953,114,34
673.430921239546,374.625714078365,115,34
788.473332780395,376.517566780894,116,34
903.353695758156,379.302640507394,117,34
907.415055264595,240.469438544587,117,33
790.940544291236,237.950072525697,116,33
674.80275530479,236.75391146189,115,33
558.365764709117,235.857561278035,114,33
442.644545526153,236.158437006427,113,33
326.309995934687,237.026148371764,112,33
209.97241030457,239.675594034054,111,33
93.7650960329775,243.894047165866,110,33
87.2613952323336,104.911467516915,110,32
205.433456617735,100.975068450312,111,32
323.028948962656,98.3434449881952,112,32
440.637723976684,97.7320631915918,113,32
558.008650662588,97.5133022230129,114,32
675.527103526696,98.7888692216584,115,32
793.142304822537,100.10281746795,116,32
