5,0.98
7.79718086610046,1.180506037
10,1.3
14.7349981821953,1.521376004
15,1.5325
16.989555527085,1.606793248
20,1.715
24.202373654869,1.860773829
25,1.885
26.5663997388892,1.926289848
30,2.015
33.4535193851807,2.106985362
35,2.1475
36.6897931892781,2.186601557
40,2.26
43.3399035258553,2.341575973
45,2.38
50,2.485
55,2.59
55.8968992211394,2.606483191
60,2.675
66.2580917700034,2.785204615
70,2.85
73.1752931785231,2.898907394
80,3
83.1521830441379,3.049865761
90,3.16
92.9917307272717,3.202029656
100,3.285
