x,y,lon,lat
447.429646046763,654.143805370688,113,36
560.000064315896,653.22442083378,114,36
671.534333193489,653.576895007536,115,36
784.039400730624,655.168096160291,116,36
896.447062027648,658.161730728227,117,36
900.142275272559,519.790224630278,117,35
786.310129939986,517.11273795912,116,35
672.657490392754,515.761249135001,115,35
559.150580700854,514.568833722278,114,35
445.650729798825,515.18306445549,113,35
332.214838111078,517.67797632341,112,35
218.069221787606,521.054115659208,111,35
104.406411510889,524.862938410315,110,35
98.5879446341714,385.145977629394,110,34
213.96677455807,380.900324158536,111,34
328.514969606898,378.71008037397,112,34
443.536052976215,376.272604936274,113,34
558.400603252659,375.85751954252,114,34
673.535386269519,376.542525333758,115,34
788.790548218964,378.432098886997,116,34
904.034122620884,381.233388200237,117,34
907.946007824317,242.093678021249,117,33
791.238177280495,239.560001933876,116,33
674.692395299764,238.241430003576,115,33
558.079036158688,237.392764480039,114,33
442.17686907202,237.737579217661,113,33
325.695375209762,238.57645560819,112,33
209.217246290344,241.366479945849,111,33
92.5764616001034,245.4653244439,110,33
86.1988323045116,106.074664983022,110,32
204.675990274194,102.124058596472,111,32
322.452354621852,99.5914566983138,112,32
439.659790626309,99.1409230605041,113,32
557.721567907647,98.7215782729963,114,32
675.514352164355,99.9013369345485,115,32
793.385871023453,101.344187886494,116,32
