344.377,370.617,0.55
342.535,369.837,0.55
340.693,369.057,0.55
338.852,368.277,0.55
337.01,367.496,0.55
335.169,366.716,0.55
333.327,365.936,0.55
331.486,365.156,0.55
329.644,364.376,0.55
327.803,363.595,0.55
325.957,362.826,0.55
324.098,362.089,0.55
322.239,361.351,0.55
320.38,360.613,0.55
318.521,359.875,0.55
316.662,359.138,0.55
314.803,358.4,0.55
312.944,357.662,0.55
311.085,356.924,0.55
309.226,356.186,0.55
307.367,355.449,0.55
305.508,354.711,0.55
303.649,353.973,0.55
301.79,353.235,0.55
299.931,352.498,0.55
298.072,351.76,0.55
296.214,351.02,0.55
294.357,350.278,0.55
292.5,349.536,0.55
290.643,348.793,0.55
288.785,348.051,0.55
286.928,347.309,0.55
285.071,346.567,0.55
283.214,345.824,0.55
281.357,345.082,0.55
279.5,344.34,0.55
277.643,343.597,0.55
275.785,342.855,0.55
273.934,342.099,0.55
272.089,341.327,0.55
270.244,340.554,0.55
268.4,339.782,0.55
266.555,339.009,0.55
264.71,338.236,0.55
262.865,337.464,0.55
261.021,336.691,0.55
259.207,335.855,0.55
257.464,334.875,0.55
255.72,333.895,0.55
253.977,332.915,0.55
252.233,331.935,0.55
250.485,330.964,0.55
248.736,329.993,0.55
246.988,329.022,0.55
245.239,328.051,0.55
243.71,326.783,0.55
242.263,325.401,0.55
240.817,324.02,0.55
239.371,322.639,0.55
237.924,321.258,0.55
236.733,319.659,0.55
235.597,318.012,0.55
234.462,316.366,0.55
233.326,314.72,0.55
232.247,313.037,0.55
231.212,311.325,0.55
230.178,309.614,0.55
229.143,307.902,0.55
228.466,306.034,0.55
227.911,304.113,0.55
227.356,302.191,0.55
226.802,300.269,0.55
226.247,298.348,0.55
225.663,296.435,0.55
225.059,294.529,0.55
224.456,292.622,0.55
224.051,290.666,0.55
223.705,288.697,0.55
223.359,286.727,0.55
223.013,284.757,0.55
222.911,282.763,0.55
222.857,280.763,0.55
222.804,278.764,0.55
222.752,276.765,0.55
222.819,274.766,0.55
222.886,272.767,0.55
222.952,270.768,0.55
223.019,268.769,0.55
223.175,266.775,0.55
223.339,264.782,0.55
223.503,262.789,0.55
223.667,260.796,0.55
223.881,258.808,0.55
