x,y,lon,lat
447.030788313004,649.521192736527,113,36
556.600707590525,648.253592666135,114,36
667.353162638279,648.850752354893,115,36
779.730881863965,650.579175105775,116,36
891.995277096594,653.836842836461,117,36
896.829227524075,516.094446102164,117,35
782.948500916675,513.184543722581,116,35
669.205133186657,511.691784609865,115,35
555.928820670335,510.341103389191,114,35
445.23356280884,511.547802670013,113,35
331.859417609521,514.505083507172,112,35
217.56529099173,517.882267959626,111,35
103.718874911508,521.857014465657,110,35
97.7110879796201,382.915139462042,110,34
213.507638135779,378.492726168124,111,34
328.247023149092,376.121044216228,112,34
443.271576713021,373.407352167175,113,34
556.038758371997,372.162571930156,114,34
671.010357344632,373.163691528209,115,34
786.225827682028,375.278406061727,116,34
901.541251999901,378.275413239793,117,34
906.236345018751,239.916773228124,117,33
789.40913620756,237.228638530239,116,33
672.936106230238,235.672205184727,115,33
556.616237823473,234.478575575475,114,33
441.870488917713,235.618798439934,113,33
325.340281215573,236.581039537235,112,33
208.731215739117,239.453953093705,111,33
91.9020607834464,243.876222685902,110,33
86.1556021322976,105.374671312205,110,32
204.666731916041,101.161710462452,111,32
322.476296076278,98.3968965259774,112,32
440.288059379778,97.5474037993599,113,32
556.536056670906,96.5038490829511,114,32
674.414708960176,97.9998845949176,115,32
792.186926607847,99.7703832098532,116,32
